Business_Type,Conve_Name,County,City,Town,Address,Latitude,Longitude
편의점,씨유목포동부로점,전라남도,목포시,용당동,1187-1,34.8096176,126.3915485
편의점,지에스25목포,전라남도,목포시,용당동,964-83,34.8056614,126.390905
편의점,델리카페백년로점,전라남도,목포시,용당동,1028-42,34.7994168,126.4013952
편의점,씨유목포한일,전라남도,목포시,용당동,1091-1,34.8078541,126.3999826
편의점,GS25목포하은점,전라남도,목포시,용당동,960-156,34.8029849,126.3949891
편의점,세븐일레븐목포용당아름점,전라남도,목포시,용당동,982-70,34.8080278,126.398427
편의점,이마트24목포마실점,전라남도,목포시,용당동,1130-3,34.8017606,126.3955322
편의점,동방편의점,전라남도,목포시,용당동,1064-28,34.7968279,126.4024778
편의점,세븐목포광장점,전라남도,목포시,용당동,1044-37,34.8041326,126.3952102
편의점,씨유목포양을로점,전라남도,목포시,용당동,1200-1,34.8116712,126.3954479
편의점,뉴파워마트,전라남도,목포시,용당동,1136-28,34.8024071,126.3969263
편의점,미니스톱MBC점,전라남도,목포시,용당동,1088-10,34.8060508,126.4012913
편의점,씨유목포유정점,전라남도,목포시,용당동,960-211,34.803308,126.3946642
편의점,코피노마트,전라남도,목포시,용당동,1155-1,34.799425,126.3951369
편의점,씨유목포용당점,전라남도,목포시,용당동,964-81,34.8051846,126.3914384
편의점,세븐일레븐목포3,전라남도,목포시,용당동,1103-12,34.8054362,126.400235
편의점,미니스톱목포진플라자점,전라남도,목포시,산정동,1753-8,34.8069666,126.373612
편의점,GS25목포신비점,전라남도,목포시,산정동,1259-3,34.8061476,126.3676052
편의점,씨유산정라인점,전라남도,목포시,산정동,1752-10,34.807474,126.3743763
편의점,세븐일레븐목포산정라인점,전라남도,목포시,산정동,1750-12,34.8085083,126.3735265
편의점,세븐일레븐목포양을로점,전라남도,목포시,산정동,278-13,34.8093866,126.3859942
편의점,씨유목포삼학도점,전라남도,목포시,산정동,1424-12,34.7867678,126.3976523
편의점,지에스25산정하이츠점,전라남도,목포시,산정동,1786-2,34.8030494,126.3791892
편의점,세븐산정점,전라남도,목포시,산정동,1082-2,34.7939067,126.3934199
편의점,세븐일레븐목포산정파크점,전라남도,목포시,산정동,1319-18,34.7902633,126.3977119
편의점,씨제이올리브영목포,전라남도,목포시,산정동,1753,34.8071283,126.3738925
편의점,지에스25목포신비점,전라남도,목포시,산정동,1259-3,34.8061476,126.3676052
편의점,씨유목포산정,전라남도,목포시,산정동,203-30,34.805616,126.3860524
편의점,목포,전라남도,목포시,산정동,1808-3,34.802459,126.3695062
편의점,씨유목포자유점,전라남도,목포시,산정동,1285-9,34.7937037,126.4005106
편의점,지에스25목포자유점,전라남도,목포시,산정동,1283-16,34.7943111,126.399166
편의점,지에스25목포신비점(상품권),전라남도,목포시,산정동,1259-3,34.8061476,126.3676052
편의점,씨유목포동명로점,전라남도,목포시,산정동,1080-97,34.7930308,126.3955533
편의점,씨유목포보건소점,전라남도,목포시,산정동,1675-8,34.8042563,126.3742767
편의점,씨유목포연산,전라남도,목포시,산정동,1741,34.8084782,126.3772518
편의점,지에스25목포신,전라남도,목포시,산정동,1671,34.8055585,126.3739285
편의점,세븐목포연산2호점,전라남도,목포시,산정동,1744-3,34.8083177,126.3759926
편의점,GS25목포,전라남도,목포시,산정동,1739,34.8075157,126.3781832
편의점,씨유목포삼학초점,전라남도,목포시,산정동,1360-19,34.791638,126.4000457
편의점,세븐일레븐목포원산점,전라남도,목포시,산정동,1781-11,34.8044354,126.3775151
편의점,씨유목포라송,전라남도,목포시,산정동,1837,34.8047658,126.3789433
편의점,지에스25산정사랑,전라남도,목포시,산정동,1080-85,34.7937524,126.3955648
편의점,미니스톱목포실크밸리점,전라남도,목포시,산정동,101-2,34.8007507,126.3870438
편의점,CU목포,전라남도,목포시,산정동,1771-1,34.8056865,126.3759052
편의점,지에스25목포양을로점,전라남도,목포시,산정동,278-13,34.8093866,126.3859942
편의점,세븐일레븐목포,전라남도,목포시,산정동,1712-10,34.8109276,126.3795434
편의점,미니스톱목포노을공원점,전라남도,목포시,산정동,1110-32,34.8079193,126.3656157
편의점,세븐일레븐목포연산,전라남도,목포시,산정동,1744-3,34.8083177,126.3759926
편의점,GS25목포,전라남도,목포시,산정동,1109-2,34.7903536,126.3932738
편의점,GS25목포양을로점,전라남도,목포시,산정동,278-13,34.8093866,126.3859942
편의점,씨유목포,전라남도,목포시,산정동,1202,34.8079876,126.3697478
편의점,세븐일레븐목포산정자유점,전라남도,목포시,산정동,1294,34.79325,126.3975526
편의점,이마트24시목포,전라남도,목포시,산정동,1768,34.8064395,126.3736191
편의점,미니스톱뉴산정,전라남도,목포시,산정동,1733-10,34.8090337,126.3769749
편의점,씨유목포,전라남도,목포시,연산동,1962-1,34.8175701,126.3913572
편의점,GS25목포유진점,전라남도,목포시,연산동,1156-15,34.8111057,126.3742593
편의점,지에스25연산주공점,전라남도,목포시,연산동,1260-4,34.8127406,126.3817907
편의점,미니스톱삽진,전라남도,목포시,연산동,616,34.8218709,126.3834382
편의점,청호편의점,전라남도,목포시,연산동,661-5,34.8198172,126.3849348
편의점,CU목포연산주공점,전라남도,목포시,연산동,1261-3,34.8134803,126.3815825
편의점,세안편의점,전라남도,목포시,연산동,787-10,34.8170555,126.3797269
편의점,씨유목포,전라남도,목포시,연산동,2024-1,34.8198672,126.3897211
편의점,지에스25목포유진점,전라남도,목포시,연산동,1156-15,34.8111057,126.3742593
편의점,미니스톱연산주공점,전라남도,목포시,연산동,1260-6,34.8119369,126.3803783
편의점,씨유목포,전라남도,목포시,대성동,89-2,34.797027,126.383801
편의점,씨유목포천년나무점,전라남도,목포시,대성동,222,34.8006639,126.3818302
편의점,GS25목포불종대점,전라남도,목포시,남교동,23-1,34.7944956,126.3794636
편의점,지에스25목포불종대점,전라남도,목포시,남교동,23-1,34.7944956,126.3794636
편의점,지에스25목포불종대점(상품권),전라남도,목포시,남교동,23-1,34.7944956,126.3794636
편의점,목포역맞이방종합편의점,전라남도,목포시,호남동,1-864,34.7940221,126.3884253
편의점,씨유목포역점,전라남도,목포시,호남동,177,34.7915039,126.3862812
편의점,이마트24목포대안점,전라남도,목포시,대안동,12-16,34.7917754,126.3844765
편의점,영광24시편의점,전라남도,목포시,창평동,8-2,34.7927808,126.3843102
편의점,지에스25목포역점,전라남도,목포시,명륜동,9-1,34.7907596,126.3855337
편의점,씨유목포명륜점,전라남도,목포시,명륜동,7-1,34.7913078,126.3853212
편의점,세븐일레븐목포,전라남도,목포시,죽동,95-1,34.7925949,126.3823198
편의점,씨제이올리브영목포역점,전라남도,목포시,죽동,20-2,34.7910067,126.3839224
편의점,이마트24목포블루오션점,전라남도,목포시,동명동,7,34.7883666,126.3907311
편의점,이마트24목포항동,전라남도,목포시,영해동1가,7,34.7857538,126.3865911
편의점,씨유목포세진점,전라남도,목포시,보광동3가,4-10,34.7876741,126.3871037
편의점,세븐일레븐목포,전라남도,목포시,보광동3가,5,34.788125,126.3866106
편의점,에스엘퀸제누비아점,전라남도,목포시,해안동1가,10-6,34.7804361,126.3824313
편의점,세븐일레븐목포퀸메리,전라남도,목포시,해안동1가,10-6,34.7804361,126.3824313
편의점,에스엘퀸메리2,전라남도,목포시,해안동1가,10-6,34.7804361,126.3824313
편의점,세븐일레븐목포퀸메리호점,전라남도,목포시,해안동1가,10-6,34.7804361,126.3824313
편의점,이마트24목포항구점,전라남도,목포시,해안동3가,6,34.7819835,126.3813917
편의점,씨유목포여객,전라남도,목포시,항동,6-38,34.7829216,126.3844449
편의점,씨유목포유달점,전라남도,목포시,경동1가,7,34.785402,126.3821152
편의점,씨유항구미래점,전라남도,목포시,금화동,12-88,34.7806408,126.3753776
편의점,씨유목포,전라남도,목포시,죽교동,620-42,34.8039664,126.366336
편의점,씨유목포죽교점,전라남도,목포시,죽교동,17-3,34.8005252,126.3743637
편의점,미니스톱목포,전라남도,목포시,죽교동,620-184,34.8018134,126.3700827
편의점,씨유목포해양,전라남도,목포시,죽교동,536-15,34.8010921,126.3700052
편의점,세븐일레븐목포신안비치호텔점,전라남도,목포시,죽교동,440-4,34.7854428,126.3687206
편의점,지에스25목포대반점,전라남도,목포시,죽교동,465-95,34.788092,126.367662
편의점,에스에이치24죽교점,전라남도,목포시,죽교동,580-29,34.8002716,126.3751302
편의점,미니스톱하당평화점,전라남도,목포시,상동,1159-1,34.7968994,126.4342669
편의점,세븐일레븐목포상동하늘점,전라남도,목포시,상동,954-6,34.8008523,126.4205212
편의점,GS25목포예은점,전라남도,목포시,상동,917-4,34.8029378,126.4165703
편의점,평광24시편의점,전라남도,목포시,상동,1129-22,34.7990429,126.4342219
편의점,이마트24목포교육청점,전라남도,목포시,상동,971,34.7986308,126.422054
편의점,세븐일레븐목포하당,전라남도,목포시,상동,992-11,34.8029158,126.4257666
편의점,미니스톱목포,전라남도,목포시,상동,957-10,34.7996785,126.4205011
편의점,이마트24목포한국,전라남도,목포시,상동,135-2,34.8093818,126.4166462
편의점,지에스25목포평화,전라남도,목포시,상동,1139-21,34.7976279,126.4332953
편의점,세븐일레븐목포하당,전라남도,목포시,상동,994-1,34.801828,126.4252598
편의점,지에스25상동호반,전라남도,목포시,상동,251-16,34.8148312,126.4185399
편의점,미니스톱목포미항점,전라남도,목포시,상동,1116-8,34.7970801,126.4277844
편의점,지에스25목포,전라남도,목포시,상동,991-4,34.8023086,126.4242969
편의점,씨유목포하당현대점,전라남도,목포시,상동,1026-8,34.8004727,126.4278958
편의점,씨유목포상동,전라남도,목포시,상동,903,34.8032299,126.4178163
편의점,한국미니스톱하당로고스점,전라남도,목포시,상동,1003-3,34.8028344,126.4281143
편의점,씨제이올리브영목포,전라남도,목포시,상동,220,34.812729,126.4175588
편의점,세븐일레븐목포하당지구점,전라남도,목포시,상동,1006-2,34.8021234,126.4285581
편의점,다솔편의점,전라남도,목포시,상동,1129-6,34.7993231,126.433214
편의점,씨유목포우리점,전라남도,목포시,상동,871,34.8053627,126.42628
편의점,지에스25목포꿈동산점,전라남도,목포시,상동,1023,34.7986427,126.4274164
편의점,GS25하당,전라남도,목포시,상동,1154-5,34.7955709,126.4314848
편의점,씨유목포입암점,전라남도,목포시,상동,941,34.800665,126.4184151
편의점,세븐일레븐목과대캠퍼스점,전라남도,목포시,상동,525,34.8074613,126.4098776
편의점,이마트24목포비파점,전라남도,목포시,상동,843-4,34.8076035,126.4208322
편의점,씨유목포,전라남도,목포시,상동,179-9,34.8120382,126.4178594
편의점,씨유목포,전라남도,목포시,상동,1139-2,34.7986521,126.4329715
편의점,지에스25목포한국,전라남도,목포시,상동,508-11,34.8089246,126.4158398
편의점,지에스25하당비파점,전라남도,목포시,상동,857,34.8091176,126.42365
편의점,미니스톱하당타운점,전라남도,목포시,상동,851,34.8085907,126.4225126
편의점,세븐일레븐목포상동우성점,전라남도,목포시,상동,889-3,34.8034546,126.4209341
편의점,씨유목포착한점,전라남도,목포시,상동,813-9,34.8070594,126.4169708
편의점,세븐일레븐목포상동,전라남도,목포시,상동,1038-1,34.8049276,126.4151134
편의점,세븐목포부흥점,전라남도,목포시,상동,821-4,34.8060209,126.419947
편의점,지에스25하당,전라남도,목포시,상동,862,34.8077088,126.4246311
편의점,이마트24목포영흥점,전라남도,목포시,상동,823-8,34.8047161,126.4184855
편의점,세븐목포평화광장점,전라남도,목포시,상동,1123-10,34.798988,126.4308286
편의점,지에스25상동,전라남도,목포시,상동,795-7,34.8093676,126.420902
편의점,씨유목포영산로점,전라남도,목포시,상동,251-45,34.8163727,126.4181576
편의점,세븐일레븐목포우미점,전라남도,목포시,상동,1117-10,34.7964963,126.4281612
편의점,지에스25하당원룸점,전라남도,목포시,상동,801,34.8096974,126.4185663
편의점,식품편의점,전라남도,목포시,상동,189-4,34.8123656,126.416764
편의점,지에스25목포,전라남도,목포시,상동,1018,34.7997936,126.4238211
편의점,세븐일레븐목포비파로점,전라남도,목포시,상동,1004-1,34.8018595,126.4272397
편의점,CU목포한,전라남도,목포시,상동,849-14,34.8063615,126.4237665
편의점,미니스톱하당블루점,전라남도,목포시,상동,1122-5,34.7983159,126.4297489
편의점,이마트24목포어울림점,전라남도,목포시,상동,251-5,34.8167002,126.4184954
편의점,세븐일레븐목포상동아이점,전라남도,목포시,상동,819-6,34.8062133,126.41807
편의점,씨유메디,전라남도,목포시,상동,779,34.8110212,126.4192916
편의점,미니스톱하당,전라남도,목포시,상동,1030-5,34.801572,126.4300269
편의점,세븐일레븐목포하당원룸점,전라남도,목포시,상동,787-12,34.8103072,126.4206961
편의점,씨유하당으뜸점,전라남도,목포시,상동,988,34.801239,126.4246803
편의점,씨유목포상동주공점,전라남도,목포시,상동,745-1,34.8140579,126.4148296
편의점,세븐일레븐목포해양점,전라남도,목포시,상동,923-4,34.8020956,126.4147473
편의점,씨유목포에메랄드점,전라남도,목포시,상동,1142-12,34.7980636,126.4342657
편의점,지에스25목포태율점,전라남도,목포시,상동,1132-2,34.7978692,126.4312264
편의점,세븐목포상동목화점,전라남도,목포시,상동,457-6,34.8116354,126.4162387
편의점,씨제이올리브영목포평화,전라남도,목포시,상동,1139,34.7984351,126.4326545
편의점,씨유하당,전라남도,목포시,상동,1033-2,34.800155,126.4299369
편의점,씨유목포비파점,전라남도,목포시,상동,849-13,34.8072074,126.4231741
편의점,지에스25목포,전라남도,목포시,상동,829-14,34.8050824,126.4188652
편의점,미니스톱목포포르모점,전라남도,목포시,상동,867-5,34.808199,126.4253619
편의점,씨유목포우성점,전라남도,목포시,상동,983-2,34.8014463,126.4224911
편의점,씨유목포우성점,전라남도,목포시,상동,983-2,34.8014463,126.4224911
편의점,씨유목포시네마점,전라남도,목포시,상동,1129-6,34.7993231,126.433214
편의점,씨유목포기독,전라남도,목포시,상동,833-1,34.8044309,126.4206091
편의점,CU목포,전라남도,목포시,상동,788-9,34.8107891,126.4224156
편의점,미니스톱목포대양점,전라남도,목포시,상동,1131,34.7988193,126.4314509
편의점,지에스25상동호반(상품권),전라남도,목포시,상동,251-16,34.8148312,126.4185399
편의점,세븐일레븐목포현대,전라남도,목포시,상동,1027,34.8010684,126.4288462
편의점,세븐목포중앙여중점,전라남도,목포시,상동,897,34.8020514,126.4186153
편의점,세븐일레븐목포평화,전라남도,목포시,상동,1132,34.7983444,126.4309081
편의점,지에스25목포으뜸점,전라남도,목포시,상동,932,34.8012403,126.4169257
편의점,세븐목포상동아이점,전라남도,목포시,상동,819-6,34.8062133,126.41807
편의점,한국한방,전라남도,목포시,상동,855,34.8095992,126.4247024
편의점,세븐일레븐목포부흥점,전라남도,목포시,상동,821-4,34.8060209,126.419947
편의점,세븐목포상동유성점,전라남도,목포시,상동,1038-1,34.8049276,126.4151134
편의점,미니스톱목포우리점,전라남도,목포시,상동,179-6,34.8122047,126.4173503
편의점,지에스25하당,전라남도,목포시,상동,782-2,34.8112363,126.4207275
편의점,지에스25목포이로점,전라남도,목포시,용해동,240-14,34.8053928,126.4058398
편의점,세븐일레븐목포용해,전라남도,목포시,용해동,143-6,34.8007637,126.4080928
편의점,GS25용해,전라남도,목포시,용해동,992-1,34.8167283,126.3975772
편의점,지에스25목포포미타운점,전라남도,목포시,용해동,426-1,34.8177942,126.3996053
편의점,씨유목포,전라남도,목포시,용해동,143-121,34.8001806,126.4065238
편의점,이마트24목포,전라남도,목포시,용해동,152-292,34.7980113,126.4085555
편의점,세븐일레븐목포포미타운점,전라남도,목포시,용해동,975,34.819286,126.3978937
편의점,세븐일레븐목포,전라남도,목포시,용해동,982-3,34.8164669,126.3990462
편의점,세븐일레븐목포과학대점,전라남도,목포시,용해동,274-24,34.8064853,126.4087935
편의점,김밥나라현대24시편의점,전라남도,목포시,용해동,380-39,34.8160594,126.4008252
편의점,씨유목포환영점,전라남도,목포시,석현동,927-1,34.8268349,126.4210689
편의점,세븐목포신청호점,전라남도,목포시,석현동,1170-14,34.8153071,126.4236449
편의점,세븐일레븐목포석현점,전라남도,목포시,석현동,1168-25,34.8134912,126.4221675
편의점,세븐일레븐목포신청호점,전라남도,목포시,석현동,1170-14,34.8153071,126.4236449
편의점,지에스25G목포합동점,전라남도,목포시,석현동,489-2,34.8270968,126.4216847
편의점,지에스25목포청호점,전라남도,목포시,석현동,1170-11,34.8149646,126.4220174
편의점,지에스25목포,전라남도,목포시,석현동,1170-23,34.8159079,126.4232155
편의점,씨유목포석현라송점,전라남도,목포시,석현동,623-15,34.821161,126.4223384
편의점,세븐일레븐목포중앙,전라남도,목포시,석현동,621-5,34.8207875,126.42167
편의점,디오션편의점,전라남도,목포시,달동,1330-49,34.7559085,126.3571265
편의점,세븐일레븐목포신항만점,전라남도,목포시,달동,1336-35,34.7531137,126.358348
편의점,씨유목포고하도점,전라남도,목포시,달동,1330-25,34.7589072,126.3585849
편의점,지에스25대양,전라남도,목포시,대양동,1199-8,34.8283994,126.4028
편의점,씨유목포근화,전라남도,목포시,대양동,75-1,34.8367005,126.4278673
편의점,웨이스토리,전라남도,목포시,대양동,261-3,34.8380566,126.4228797
편의점,이마트24목포내트럭하우스점,전라남도,목포시,대양동,1186,34.8349811,126.4050516
편의점,씨유목포대양,전라남도,목포시,대양동,1199-5,34.8289866,126.4029985
편의점,세븐일레븐목포대양,전라남도,목포시,대양동,257-36,34.8370253,126.4270462
편의점,세븐목포옥암부티크점,전라남도,목포시,옥암동,1244,34.8125728,126.4501703
편의점,세븐일레븐목포평화로점,전라남도,목포시,옥암동,1098-1,34.7979134,126.4363898
편의점,지에스25옥암,전라남도,목포시,옥암동,916-3,34.8128299,126.4273428
편의점,미니스톱하당로즈점,전라남도,목포시,옥암동,1016,34.8050863,126.4327274
편의점,GS25옥암상품권,전라남도,목포시,옥암동,916-3,34.8128299,126.4273428
편의점,세븐일레븐목포옥암,전라남도,목포시,옥암동,1148,34.810032,126.4378919
편의점,미니스톱남악모아점,전라남도,목포시,옥암동,1329,34.8072379,126.4586416
편의점,이마트24목포왓츠점,전라남도,목포시,옥암동,1333-2,34.8057057,126.4569194
편의점,미니스톱하당우미점,전라남도,목포시,옥암동,1096,34.8002852,126.4357526
편의점,세븐일레븐목포옥암초원점,전라남도,목포시,옥암동,967-9,34.8078997,126.4269497
편의점,이마트24목포소방서점,전라남도,목포시,옥암동,972-1,34.8090257,126.4300809
편의점,GS25목포옥암,전라남도,목포시,옥암동,1044,34.8049036,126.4371085
편의점,씨유목포,전라남도,목포시,옥암동,1011,34.8056952,126.4313812
편의점,세븐일레븐옥암현이점,전라남도,목포시,옥암동,955-14,34.8112449,126.4275182
편의점,세븐목포옥암사랑점,전라남도,목포시,옥암동,1256,34.8113072,126.4501403
편의점,미니스톱옥암,전라남도,목포시,옥암동,1032,34.8021228,126.4310069
편의점,세븐목포옥암2호점,전라남도,목포시,옥암동,1010-3,34.8056449,126.4319389
편의점,세븐일레븐목포옥암,전라남도,목포시,옥암동,1002,34.8044968,126.4297031
편의점,씨유목포백년대로점,전라남도,목포시,옥암동,977-8,34.8090721,126.4319953
편의점,알리바이하당,전라남도,목포시,옥암동,1007-5,34.8045617,126.4317666
편의점,지에스25목포나이스점,전라남도,목포시,옥암동,1028,34.8032759,126.4315249
편의점,씨스페이스아야나호텔점,전라남도,목포시,옥암동,1091-4,34.8011447,126.4350226
편의점,GS25목포,전라남도,목포시,옥암동,1017,34.8064719,126.4328737
편의점,씨유목포일등,전라남도,목포시,옥암동,1033-1,34.8013655,126.4315415
편의점,씨유목포미항점,전라남도,목포시,옥암동,1095-8,34.8000205,126.4375358
편의점,지에스25목포우미점,전라남도,목포시,옥암동,962,34.8110208,126.4282587
편의점,황금단한복점,전라남도,목포시,옥암동,1345-7,34.8072895,126.4518537
편의점,세븐일레븐목포옥암,전라남도,목포시,옥암동,1010-3,34.8056449,126.4319389
편의점,밥끼목포남악,전라남도,목포시,옥암동,1274-2,34.8101556,126.4552559
편의점,미니스톱목포,전라남도,목포시,옥암동,1250-9,34.8111864,126.4488731
편의점,씨유목포옥암원룸점,전라남도,목포시,옥암동,1253-5,34.8105562,126.4489552
편의점,씨유하당,전라남도,목포시,옥암동,1030,34.8033631,126.4301377
편의점,GS25옥암부흥점,전라남도,목포시,옥암동,1167-2,34.8094193,126.4407267
편의점,지에스25목포풍경채점,전라남도,목포시,옥암동,915-26,34.8127569,126.424048
편의점,GS25옥암,전라남도,목포시,옥암동,1153-8,34.8077803,126.4375541
편의점,씨유목포옥암,전라남도,목포시,옥암동,1151-4,34.8089832,126.4392785
편의점,씨유옥암천년점,전라남도,목포시,옥암동,1345-7,34.8072895,126.4518537
편의점,세븐일레븐목포솔빛점,전라남도,목포시,옥암동,1040-32,34.8026761,126.4356564
편의점,지에스25우미평화점,전라남도,목포시,옥암동,1097,34.7991485,126.436518
편의점,세븐일레븐목포옥암,전라남도,목포시,옥암동,1256,34.8113072,126.4501403
편의점,GS25옥암,전라남도,목포시,옥암동,916-3,34.8128299,126.4273428
편의점,GS25목포,전라남도,목포시,옥암동,1192-2,34.8123554,126.4444322
편의점,씨유목포옥암,전라남도,목포시,옥암동,1157-2,34.8072155,126.4369384
편의점,GS25목포나이스점상품권,전라남도,목포시,옥암동,1028,34.8032759,126.4315249
편의점,세븐여수해양공원점,전라남도,여수시,종화동,470,34.7375551,127.7434899
편의점,이마트24여수낭만포차점,전라남도,여수시,종화동,282,34.7368347,127.7500121
편의점,씨제이올리브영여수해양공원점,전라남도,여수시,종화동,1217,34.7375177,127.7426714
편의점,세븐일레븐여수하멜등대점,전라남도,여수시,종화동,458,34.7376948,127.7470154
편의점,지에스25여수하멜등대점,전라남도,여수시,종화동,338-1,34.7372222,127.7479364
편의점,씨유여수해양공원점,전라남도,여수시,종화동,463-1,34.7382379,127.7460392
편의점,세븐일레븐여수낭만포차점,전라남도,여수시,종화동,288,34.73644,127.7498106
편의점,세븐일레븐여수야,전라남도,여수시,종화동,589-1,34.7390211,127.7457873
편의점,이마트24여수해양공원점,전라남도,여수시,종화동,581-7,34.7390684,127.7448694
편의점,세븐일레븐여수해양공원점,전라남도,여수시,종화동,470,34.7375551,127.7434899
편의점,씨유여수오동도점,전라남도,여수시,수정동,222,34.7431148,127.7502225
편의점,지에스25여수소노캄점,전라남도,여수시,수정동,772,34.7422918,127.7542771
편의점,세븐일레븐여수해야점,전라남도,여수시,수정동,80,34.7402741,127.7525753
편의점,해빛오동도호텔점,전라남도,여수시,수정동,99-3,34.7415498,127.7522137
편의점,씨유여수유탑,전라남도,여수시,수정동,777-1,34.7442854,127.7505819
편의점,지에스25여수베네치아점,전라남도,여수시,수정동,774-4,34.7457874,127.7517613
편의점,지에스25여수신라스테이점,전라남도,여수시,수정동,621,34.7442671,127.748575
편의점,GS25여수오동도,전라남도,여수시,수정동,245,34.7427089,127.7507898
편의점,세븐일레븐여수호스텔점,전라남도,여수시,수정동,195-1,34.7434047,127.7493518
편의점,씨유여수공화점,전라남도,여수시,공화동,1260,34.7459431,127.7431563
편의점,이마트24여수엑스포,전라남도,여수시,공화동,343-1,34.7484082,127.7447261
편의점,지에스25여수공화,전라남도,여수시,공화동,1268-3,34.7466689,127.743309
편의점,씨유여수관문점,전라남도,여수시,관문동,984,34.7434758,127.7407666
편의점,GS25여수경찰서점,전라남도,여수시,관문동,311,34.7414139,127.7400253
편의점,세븐일레븐여수,전라남도,여수시,중앙동,243,34.7374757,127.7413531
편의점,지에스25여수해양공원점,전라남도,여수시,중앙동,256,34.7377913,127.7395617
편의점,세븐일레븐여수,전라남도,여수시,중앙동,428,34.7399977,127.7364378
편의점,씨유여수진남점,전라남도,여수시,중앙동,711,34.740413,127.7360241
편의점,지에스25여수,전라남도,여수시,중앙동,803,34.7395071,127.7354998
편의점,씨유여수그랜드점,전라남도,여수시,교동,634,34.740015,127.7310393
편의점,세븐일레븐여수,전라남도,여수시,교동,428-1,34.7403716,127.7339071
편의점,세븐여수교동점,전라남도,여수시,교동,428-1,34.7403716,127.7339071
편의점,씨유여수충무점,전라남도,여수시,충무동,439,34.7422631,127.7311329
편의점,이마트24호텔케니,전라남도,여수시,충무동,502-1,34.7412796,127.7316662
편의점,지에스25여수충무점,전라남도,여수시,충무동,424,34.7421546,127.7307896
편의점,이디야연등메트하임점,전라남도,여수시,연등동,311,34.7493042,127.7274713
편의점,이마트24여수연등점,전라남도,여수시,연등동,724-7,34.7557602,127.7245916
편의점,에이치케이건설자산관리,전라남도,여수시,연등동,311,34.7493042,127.7274713
편의점,세븐일레븐여수메트하임점,전라남도,여수시,연등동,311,34.7493042,127.7274713
편의점,세븐여수광무점,전라남도,여수시,광무동,171,34.7436421,127.7280292
편의점,세븐일레븐여수광무점,전라남도,여수시,광무동,171,34.7436421,127.7280292
편의점,세븐일레븐여수,전라남도,여수시,서교동,692,34.7399301,127.7263091
편의점,지에스25여수시민회관점,전라남도,여수시,서교동,12-2,34.7460571,127.7288609
편의점,GS25여수,전라남도,여수시,봉산동,276-20,34.7322291,127.7240691
편의점,GS25봉산타운점,전라남도,여수시,봉산동,266-13,34.7338728,127.7212252
편의점,세븐여수봉산점,전라남도,여수시,봉산동,260-12,34.7321744,127.7247695
편의점,씨유편의점여수,전라남도,여수시,봉산동,222-2,34.7340669,127.7267928
편의점,이마트24여수,전라남도,여수시,봉산동,248-5,34.735552,127.7237498
편의점,세븐일레븐여수,전라남도,여수시,봉산동,260-12,34.7321744,127.7247695
편의점,지에스25봉산스트릿점,전라남도,여수시,봉산동,247-12,34.734864,127.724664
편의점,세븐일레븐여수장,전라남도,여수시,봉산동,263-8,34.7330414,127.7229052
편의점,세븐일레븐여수구봉점,전라남도,여수시,봉산동,273-14,34.7321712,127.7217025
편의점,씨유여수봉산,전라남도,여수시,봉산동,261-1,34.7334463,127.7245779
편의점,미니스톱봉산어항점,전라남도,여수시,봉산동,263-1,34.7339069,127.723516
편의점,씨유여수,전라남도,여수시,남산동,233,34.7341964,127.7311354
편의점,지에스25여수남산로점,전라남도,여수시,남산동,453,34.7359797,127.7322513
편의점,지에스25여수,전라남도,여수시,국동,1082-31,34.7262963,127.7156403
편의점,이마트24여수,전라남도,여수시,국동,37-6,34.7300702,127.7238583
편의점,이마트24여수어항단지로점,전라남도,여수시,국동,1093-12,34.7256347,127.7121517
편의점,여수비치리조트여수국동유탑지점,전라남도,여수시,국동,105,34.7266235,127.7188428
편의점,이마트24R여수에덴점,전라남도,여수시,국동,462-1,34.730936,127.7176739
편의점,세븐일레븐여수국동대주점,전라남도,여수시,국동,543,34.7318958,127.7190283
편의점,미니스톱여수,전라남도,여수시,국동,1053,34.7287531,127.7153278
편의점,씨유여수한화,전라남도,여수시,신월동,805,34.7336469,127.6970825
편의점,씨유여수바다,전라남도,여수시,신월동,112-6,34.7239161,127.7101207
편의점,씨유여수,전라남도,여수시,신월동,1,34.7281336,127.7137414
편의점,GS25여서원룸점,전라남도,여수시,여서동,382-1,34.7509734,127.7086538
편의점,씨유여수여서점,전라남도,여수시,여서동,479,34.7496074,127.7021158
편의점,씨유여수여서로점,전라남도,여수시,여서동,248,34.7523835,127.7077197
편의점,지에스25여수여서로점,전라남도,여수시,여서동,228-5,34.752513,127.7042934
편의점,씨유여수여서,전라남도,여수시,여서동,479,34.7496074,127.7021158
편의점,지에스25여수GS점,전라남도,여수시,여서동,226-3,34.7533453,127.7058288
편의점,지에스25여수,전라남도,여수시,여서동,457-3,34.7498108,127.700803
편의점,세븐일레븐여수여서,전라남도,여수시,여서동,225-10,34.7537765,127.7075346
편의점,세븐일레븐여수여서,전라남도,여수시,여서동,215-6,34.7533548,127.7044815
편의점,씨유여수한,전라남도,여수시,여서동,61,34.7535345,127.7142678
편의점,이마트24여수여문점,전라남도,여수시,여서동,208,34.7518247,127.7017921
편의점,세븐일레븐여수현대점,전라남도,여수시,여서동,490-9,34.7476572,127.6993421
